character,synergy
H,0.9837185089915389
F,0.9716263307200279
j,0.9694937715588215
7,0.9487133477450698
5,0.9039132123919748
E,0.7975546334575938
K,0.7720631806393309
t,0.7119914243776293
T,0.583133441376655
w,0.5690448384848423
Q,0.5452310209511779
q,0.4780516299021353
i,0.4763288121903315
k,0.4493364310956167
I,0.4258640476382425
4,0.3307576624404949
f,0.3248029341533159
P,0.3140315758840491
B,0.30986000038683414
r,0.2980667537097664
R,0.29065856298742193
g,0.28430505298698944
G,0.2776045192343493
X,0.22400109516456723
x,0.21872127415069068
z,0.1905998983856989
W,0.16888181256945245
A,0.11438343666668516
y,0.04008787808318933
J,0.011877383571118116
o,0.0
S,0.0
N,0.0
M,0.0
L,0.0
8,0.0
D,0.0
O,0.0
9,0.0
2,0.0
1,0.0
6,0.0
C,0.0
3,0.0
V,0.0
U,0.0
l,0.0
h,0.0
d,0.0
c,0.0
Y,0.0
a,0.0
b,0.0
e,0.0
s,0.0
p,0.0
m,0.0
n,0.0
u,0.0
v,0.0
0,-0.003308157109131571
Z,-0.18597035888039196
